Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 2.236927473869457117e+01 1.542105975550674438e+10 -1.322537325383247375e+10 -6.293296750170238495e+09 1.345218975533498451e+01 -2.250913405941309975e+02 -5.478775887132212574e+01 2.123250858263145387e+07 7.693692747386945712e+02 5.538459598521632385e+10 1.921685586840790050e-01 9.998122767637446229e-01 -1.320957180236842721e+00 -5.233577035881398665e+00 5.042714327373771788e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.772995547725599863e+01 -2.403932960399980164e+10 4.600556837274215698e+09 3.392150142846733093e+09 -5.401666798981750617e+00 -7.468978586218145210e+01 -5.908621249654017049e+01 2.947546545859597251e+07 7.947299554772559986e+02 4.443890654372549438e+10 1.791368704381774424e-01 9.997540450454079908e-01 1.676763205095537446e+00 -6.769237594456956053e-01 5.062568089713820996e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.318074917126698438e+02 -2.898837172715200806e+10 5.078686257872687988e+11 1.858285858748760223e+10 -1.561569819467014895e+04 7.126848507793964018e+03 -7.064521599927263651e+01 6.721083277271388471e+07 8.788074917126698438e+02 2.864383906737647095e+11 3.617297769266029084e-01 9.996690440824581581e-01 3.886592346662981257e+00 -5.172331379094565307e+00 -7.635628418603991330e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.115981765074945997e+01 7.894341728129333496e+09 3.771332702157148743e+10 -2.689124264378178024e+10 3.549742110615043202e+02 1.834116444009050610e+02 -1.804411715384519312e+03 5.197463819747471064e+07 8.081598176507494600e+02 7.471291477873977661e+10 1.338266650627006893e-02 9.964078424775196785e-01 4.086225607771476476e+00 4.724140689388287129e+00 -1.376736952247948453e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.577218436803721033e+02 -1.151833960707073975e+10 -1.683156018168591309e+10 -4.973610251788802147e+09 -5.034986684237082954e+00 6.847180693293921649e+00 -2.376072100033958634e+00 1.065680506333463639e+08 9.047218436803721033e+02 8.381281787336160278e+10 7.364797235315703738e-02 9.997189521447359395e-01 5.277666241100105182e-01 -3.155483711674576863e+00 1.168439799853147276e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.275556680154198830e+02 2.201162654254232788e+10 2.085131036284588623e+10 -6.244758367111984253e+09 4.910165897330989537e+01 8.740484080986789195e+01 1.215873327686892935e+01 1.072132088492961377e+08 8.745556680154198830e+02 5.669928092167248535e+10 2.716106866563895716e-02 9.999348277501299842e-01 1.002183176799411823e+00 -3.890723200997053155e+00 4.394692163030677889e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.055436359009615899e+01 2.431677128394229126e+10 1.302238384153910828e+10 -7.095845432533823967e+09 3.638250548165888176e+01 4.772950014849993750e+01 -5.398604813592294249e+01 4.626242071220172197e+07 8.275543635900961590e+02 7.010722166074765015e+10 1.283535701170560872e-01 9.990054964625481038e-01 1.441801600352824453e+00 -3.005470648259303434e+00 2.314114333065735440e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.064711584593903808e+02 -3.886358189915826416e+10 6.302546546105078125e+10 9.394439642470813751e+09 2.923020487383142608e+03 5.230458603363164002e+03 1.415844149113363670e+01 7.879729081023600698e+07 8.534711584593903808e+02 5.309964846591638184e+10 6.318551989066037433e-02 9.993268330182852877e-01 -1.735122394324416728e+00 -7.788439989982817169e-01 1.932202717257703872e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.749535913682620958e+01 -3.527790092174723053e+10 -2.038692678227581787e+10 -3.452081958582609177e+09 -4.039852150777005590e+01 -4.758976232575150789e+00 -2.986580041320121381e+01 5.914332343121851981e+07 8.244953591368262096e+02 6.765234865530685425e+10 1.185556578629322205e-01 9.997521928163231042e-01 4.192824723521402230e-01 -2.143129565835985684e+00 6.002292070085266218e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.821607750945668158e+01 -3.791911676530026245e+11 9.116038118834289551e+10 4.372601100800859451e+09 -5.456370727416573573e+03 1.837604548895798871e+03 -4.428036747656872194e+02 4.372370887562757730e+07 8.052160775094566816e+02 6.859276316636264648e+11 6.403234367290390194e-01 9.997046747982017978e-01 -3.671198656270946437e-02 -1.664273774291074259e+00 -3.169237809091559610e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.730670797289405982e+01 2.894289256236370850e+10 6.924311667636590576e+10 5.242102563905844116e+10 3.581704989313220722e+02 2.659929478983813169e+02 1.128777617919803617e+02 3.933002596567011625e+07 8.043067079728940598e+02 9.281897010834628296e+10 3.929544221142247662e-02 9.870857502765428837e-01 -1.918611444591980852e+00 -6.007436676012524401e+00 -3.251232753018447053e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.928769852744001128e+02 7.376267362634407043e+09 -1.885884000339941406e+10 -1.323529754684037399e+10 2.446010034703431302e+01 -3.624898182383230960e+01 -2.405991876909388338e+01 9.478587108813276887e+07 9.398769852744001128e+02 8.565057607147183228e+10 9.326285163596124972e-02 9.841227512621916196e-01 -1.203738569267367664e+00 -4.572938748173397627e+00 -1.872843562853264032e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.500512255212026957e+01 -3.539306980705580139e+10 -6.449404494149306488e+10 1.853600180092482090e+09 1.529405485734650210e+04 2.262885893861868681e+03 -7.356813197792713481e+02 4.176571907925293595e+07 8.020051225521202696e+02 7.115498846582055664e+10 8.339604895106730864e-02 9.994926432886465095e-01 3.943896906726859219e-01 -2.962035516468430441e+00 -8.594091593994743761e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.014059454365849433e+01 -2.390991577513388062e+10 1.788043009223315430e+10 3.699010365059309387e+10 6.735585552737302351e+02 3.056188872501079459e+02 -1.319192095885790195e+03 1.836629288425990567e+07 7.671405945436584943e+02 1.041757668056417847e+10 1.508371146905825855e-01 9.730240987559427568e-01 -3.553601422285397327e+00 -2.768404004743580504e+00 2.685386748050808681e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.186928198926544837e+02 -1.460314172638246155e+10 -7.548882946953927612e+10 -5.853595359641752243e+09 -7.851961451825700351e+02 -4.068586407093023809e+03 -2.995732323107547472e+02 6.531893121063153446e+07 8.656928198926544837e+02 8.940129861572021484e+10 3.663685375192321514e-02 9.995326778596121953e-01 2.976369210387821873e+00 3.228229156411367207e+00 4.129000386725406035e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.326436491578656387e+02 -2.059194903349465942e+10 -1.740066256259645081e+10 -4.775581714063896942e+10 2.516095837752800435e+00 -7.163284797429514583e+01 3.491027026344148965e-01 1.071533633575921953e+08 8.796436491578656387e+02 9.588462005008621216e+10 3.856480140458484751e-02 9.675985401701613364e-01 1.960655007251934645e+00 1.486556431914940468e-01 -2.888994417189616470e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.188741817828791909e+02 1.401958629959786987e+10 3.149221737086029053e+09 -8.302643327318162918e+09 -3.407827960222857655e+01 2.847514797763506067e+01 4.826242888993306224e+01 7.320258983716088533e+07 8.658741817828791909e+02 5.289058259503765869e+10 7.189091294529402487e-02 9.972233604098904580e-01 8.227930839996591139e-01 9.461044107284877214e-03 -3.021316383029038377e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.762068763901140755e+01 3.318641230659332275e+08 -3.304724505800059509e+10 5.244838063162365913e+09 -5.889623795069928747e+01 -3.515875331999632181e+01 4.522431548501708676e+01 8.936921963377845287e+07 8.446206876390114076e+02 6.263218335897241211e+10 1.942396485389999428e-01 9.999740591800921896e-01 -1.251689952818186180e+00 5.008344500557506684e-01 -3.835173288744127440e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.962043245373467926e+01 -5.622738624397735596e+08 1.056209161769958496e+10 2.511933076405620098e+09 2.337048879875183047e+02 -4.011163127002510009e+01 1.205929193238373500e+02 7.921658248404009640e+07 8.466204324537346793e+02 5.493706698244857788e+10 4.779375375993206998e-02 9.999665938270846377e-01 -2.639220495174732228e-03 2.561096715017143199e-01 -1.489393910375390817e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.771106908711816459e+02 -1.384956858086328125e+10 -2.639158253699371338e+09 -4.563206863461553955e+10 -3.256797376057147630e+01 -5.358036232863378245e+01 2.458736225846638490e+01 7.150303453273597360e+07 9.241106908711816459e+02 5.609170256518859863e+10 4.352680354563542853e-02 9.596525207952469882e-01 9.628552951800776194e-01 -5.894916001418060159e-02 3.206748002986905988e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.528516146559007893e+02 8.031315294833328247e+09 -3.144493411056132507e+10 -1.916076577667347336e+10 7.885291092651823419e+01 -5.372645591534819687e+00 -2.727636472837070869e+01 9.450113557504682243e+07 8.998516146559007893e+02 9.684983529789134216e+10 2.576391843496737832e-02 9.923610013591394052e-01 3.193577968393518596e+00 -9.207826534360405990e-01 9.045821464720908978e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.083897445011450600e+02 1.276876622931773376e+10 5.719567851540237427e+10 5.434318031574054956e+08 4.389624867087601160e+03 -2.455182007033923583e+03 7.684942430766393500e+02 9.177369615603627264e+07 8.553897445011450600e+02 6.185059798624745178e+10 9.756221394633643462e-02 9.993754553686331477e-01 4.035978329224051642e+00 -3.922409366374160378e+00 5.693407052673393309e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.542527959945197154e+02 -2.222649887160461426e+10 1.079153371247385025e+09 -5.056851874597071648e+09 -4.474534006173325906e+01 -5.954440040485133068e+01 -3.729239502489008373e+01 1.086836337035213560e+08 9.012527959945197154e+02 9.352541525588607788e+10 4.376294509995518056e-02 9.997479387352560254e-01 3.772282503226748851e+00 4.160413955585017476e+00 6.279005935825473506e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.069568663342299715e+02 5.774476756908981323e+09 -1.012772061718334961e+10 -4.537446235354776382e+09 7.212224638056432013e+01 -2.987644838858705043e+01 -5.687050756314110345e+01 9.877022082795347273e+07 8.539568663342299715e+02 1.070966589969823608e+11 2.225320432300698092e-02 9.996698455477719403e-01 8.262644524166433690e-01 -4.020031176209641899e-01 -1.164820062095571762e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.107594757441532920e+02 1.587282422322259521e+10 -9.222530207262390137e+09 -4.315863502622041702e+09 -3.717277562194976781e+02 -6.956427012657222804e+02 1.938663020763349323e+02 5.982988100323283672e+07 8.577594757441532920e+02 7.888540226759872437e+10 4.848516454120141428e-03 9.994834502179892333e-01 -2.272513583888322586e+00 -2.844231921052660539e+00 -4.571586622485430240e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.046475291710623878e+01 4.534364032215893555e+10 -4.037191074086144257e+10 2.946500512100387573e+10 2.658964290829135280e+01 3.816486891047352401e+02 -5.428958804214780685e+02 2.415656638763440400e+07 7.774647529171062388e+02 1.867387159167949219e+11 4.028880271854802797e-01 9.978281063286198460e-01 -2.258001037392144639e+00 3.314915635661155324e-01 -4.841027234553703096e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.525386834212235954e+01 2.974836574904858398e+10 6.784431822734542847e+09 -7.229727783709511757e+09 1.105083883923880421e+02 5.926369958688883344e+01 5.307822645048541972e+02 2.243031256359040737e+07 7.722538683421223595e+02 7.417244381088259888e+10 1.736389200914464914e-01 9.996030579299620689e-01 3.307521297840325225e+00 6.749418288650037567e-01 -2.662179562763513641e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.656445049868461865e+02 -1.455421615876193237e+10 6.557741061376730347e+10 9.207402331152711868e+09 -8.028221292519447161e+00 3.010769517041990184e+01 -2.107407916068508484e+02 1.056795599845842570e+08 9.126445049868461865e+02 3.658378049465972900e+09 4.039480147220676498e-01 9.995891740346735110e-01 1.362162446554975537e+00 -2.131246263542373232e+00 2.786697007488805333e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.149606512144720227e+02 1.498667081978707886e+10 2.159289977036215973e+10 -4.351807073910408974e+09 3.425968932998330274e+01 1.023743773930254974e+01 -1.562584972749868939e+01 6.366356047400174290e+07 8.619606512144720227e+02 6.275110163198690796e+10 1.311918982969052239e-01 9.998336882295513206e-01 -6.493675868122368300e-01 5.377875111171611877e+00 -1.930164857511826648e+00 0.000000000000000000e+00
