Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 109.1332274618004 255996920.30041504 -152347448.96430206 -5589567.410940409 -34.30123705888218 2388.895025101123 867.9897071638213 83028106.42305909 856.1332274618004 24405218115.673645 -53029680715.16589 -6422771365.803192 -4696.818903490843 -461.92225153554864 431.23169404095097
0.0 135.42869757615438 130184260.06033325 59038042.97924805 180007985.99624443 4469.052846073257 -82.48431687665652 243.71340657784936 111536106.8787428 882.4286975761544 -226892155858.3576 -201558250334.16916 4693138791.552243 41045.401325803934 -19522.781241906432 -5073.232290261951
0.0 75.73239273774027 -41372636.27334595 92235136.44869995 -26472466.280276775 -106.57764318070258 813.379258879977 448.3137619948211 38421113.74036954 822.7323927377403 -336319749695.0054 -29155409610.666977 2781695468.5348783 -3502.432116352429 -43909.60309369872 -776.8539270499546
0.0 137.3734614210249 5606162055.429901 -6331355917.216888 -22622662617.74871 -396.72611146753115 21.505952414303465 1934.2578056891723 75102256.32800117 884.3734614210249 -157317424635.1369 -38809880920.47717 -733980996.8442547 -9735.953774615646 -16694.925670274475 -3628.414996562294
0.0 151.37493888588824 -151959402.38998413 15760225.000671387 -128787556.93070948 -1335.9419053770052 -278.6399418631481 -264.50553315199727 95349215.15207718 898.3749388858882 74115150818.87471 236794967437.54987 -1717532179.6724992 -36504.28558093237 364.4482804159161 -636.3587798162121
0.0 149.2963925286016 -470281536.3424835 276060260.08984375 583081391.2259235 5492.928669252058 1594.5715540611254 -6498.849508206496 87903740.59650314 896.2963925286016 155169953253.50693 -16601915236.108566 -1519493076.099347 20449.229440245887 17857.27116615863 -7663.249086309413
0.0 81.44471479061315 -134811618.56817627 344769356.11250305 -128215149.65082252 2799.172336479269 1475.326008755521 8363.225044526305 51414136.05290238 828.4447147906131 -294145310043.1495 -32195002119.97145 7698093202.537686 20193.32237285674 -31480.095854261257 -5652.622870144141
0.0 70.74003208854651 -1018044329.738617 80350214.30593872 -756696960.5780354 -5438.866615891205 866.1405246899631 -1168.795629242599 65241169.67964046 817.7400320885465 171378644860.84964 151728889533.41632 -5027203280.773132 -33207.57583870753 17825.907489065667 2403.0370618417955
0.0 89.90555779233478 49395903.49610901 64908869.983184814 52177966.14923 2647.402330791225 1568.5974651244578 -584.3601532352486 55171253.40558087 836.9055577923348 -292513828303.99475 266102469641.34375 7900937063.790035 -30329.585374981027 -38695.21956484931 -3158.2462820350356
0.0 177.5271744899079 -34812349282.22388 9039204625.911774 3122835278.252407 2509.086081158701 5135.66036999234 770.0703681332576 80802980.025725 924.5271744899079 -317712716706.2273 -43595358704.52493 7461550748.993362 17514.09881782221 -35859.76284409218 156.59904066253893
0.0 120.43000757818061 346751671.21131897 -123658950.93162537 234205339.1120596 175.77526735883657 -1605.7010603424496 -4956.355002540425 90656982.45955391 867.4300075781806 193861785161.04916 52081313275.750626 -6532615202.849634 -16375.774621326007 23491.301946042662 -4755.109991577342
0.0 277.32049598279445 -930799247.6627197 242503065.0592041 -695829526.3295937 306.37271314577083 5392.632730434773 -511.1047589560952 118902157.84283125 1024.3204959827945 -392854486600.75745 21470953122.849075 5767689988.741428 -6633.251862182959 -49833.898078833794 -2804.977207669962
0.0 214.92102220571223 -261486067.65090942 -150002933.355011 307942451.22861576 -1751.798244770791 5507.928102351193 -681.554591182796 106361754.09919184 961.9210222057122 -107910669879.32445 -118271618990.23178 4819584731.592971 19064.93226568168 6090.9795803894995 -1071.8698510171248
